SubjCode,AnalysisName,LabelName,ClusterNo,Max,VtxMax,Size,MNI305_1,MNI305_2,MNI305_3,NVtxs
faceword03_ycl,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,8.135,31249,99.73,-40.7,-66.8,-22.3,152
faceword04_wrl,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,3.13,27383,41.98,-36.5,-72.8,-17.7,61
faceword05_sjl,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,7.305,37433,99.89,-37.2,-62.9,-11.2,140
faceword07_pcl,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,1.504,29744,13.04,-35.1,-71.7,-18.2,22
faceword08_ttl,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,4.954,29327,53.03,-42.8,-72.4,-17,71
faceword09_hyc,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,3.842,36245,94.83,-35,-63.9,-24.3,137
faceword13_ysl,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,2.239,29826,52.31,-40.6,-71.4,-14.8,70
faceword14_wc,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,6.773,36113,99.73,-40.3,-69.2,-21.8,138
faceword15_tlw,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,29.877,34793,98.99,-35.8,-61.8,-12.5,153
faceword16_pys,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,20.434,39202,99.34,-47.3,-63.6,-26,136
faceword17_xc,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,5.952,29946,99.76,-46.3,-75.5,-25.2,139
faceword19_gcp,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,7.384,49665,98.84,-46.6,-61.6,-18.7,137
faceword21_nm,loc_self.lh,roi.lh.f-vs-o.ffa1.label,1,1.777,28961,49.48,-30.6,-71.2,-9.2,68
faceword03_ycl,loc_self.lh,roi.lh.f-vs-o.ffa2.label,1,3.171,52613,99.07,-43.7,-47.1,-28.8,130
